source	source_version	role	status	binary_architectures	repository_full_name	ref_kind	ref_name	commit_sha	tree_sha	match_scope
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	resolved	amd64	gooroom/accountsservice	tag	gooroom/0.6.55-3+grm3u1	706c15ce56c8facdad9733989d305840ad109de8	4efcdc4c26fe2ca5bfc4d009e0ab918fbf06f91d	ref-tip
adduser	3.118+grm3u1	reuse-all	resolved	all	gooroom/adduser	tag	gooroom/3.118+grm3u1	e87eca4c870601b171882bd07f5a90ce866b5e70	b0d2c9f5aa79935f585634ad8a3440a9649a1298	ref-tip
arc-icon-theme	20161113+grm3u1	reuse-all	resolved	all	gooroom/arc-icon-theme	tag	gooroom/20161113+grm3u1	ca7f7fd3dfe2d7be01fe57465b3a7f356a037159	ca26d7275638abc0c685aceb504c75679c78b4c5	ref-tip
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	unresolved-version	all						
celluloid	0.20-2+grm3u6	rebuild-arm64	resolved	all,amd64	gooroom/celluloid	tag	gooroom/0.20-2+grm3u6	cdd3121116796e31e0538e6c12c16d8b8f070b31	23fece2fc9e01cc75e10884e0206f3fd09982804	ref-tip
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	resolved	amd64	gooroom/cups-pk-helper	tag	gooroom/0.2.6-1ubuntu3+grm3u1	fead88f5fe9626f17bcba1cb9f3f2407c933dfb4	8e016f0c497e909186752f250d49ca1efb0ce561	ref-tip
debian-system-adjustments	3.2.1+grm3u1	reuse-all	resolved	all	gooroom/debian-system-adjustments	tag	gooroom/3.2.1+grm3u1	a6a0f5177684ecc172799192a21da63597fb56a7	eb11c72d52d5bac3e9663de73ef96245b24944ca	ref-tip
dpkg	1.20.12+grm3u1	rebuild-arm64	resolved	all,amd64	gooroom/dpkg	tag	gooroom/1.20.12+grm3u2	251444d812939e48e092400708ad3cd8ade36326	1a5c57b238149446b5ea4f2a76916b3e72d051ef	ref-tip
eog	3.38.2-1+grm3u4	rebuild-arm64	resolved	amd64	gooroom/eog	tag	gooroom/3.38.2-1+grm3u4	6db9c892f4b8b824cb49d0353dd74392235e02b9	6f2608b0ed80be8e4ed8f63b8930efd961bc921f	ref-tip
file-roller	3.38.1-1+grm3u3	rebuild-arm64	resolved	amd64	gooroom/file-roller	tag	gooroom/3.38.1-1+grm3u3	c7f4b12b289f3b81f709d528af38e759514fd448	4435151f83ccebc9a2465ff272c992deaf949cdc	ref-tip
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	resolved	all	gooroom/flat-remix-gtk-theme	tag	gooroom/0.3.0+grm3u1	64daf4d276372e4491275820f40ae26f64aaa95d	9872cabaa26f440666b585d8e104e8bb3299daa1	ref-tip
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	resolved	all	hancom-io/gdebi	branch	hancom-3.0	26dc2b7b2971d58f9459aab5d243d41a7d90007a	caf3e4fd72b32128661ef4f5d2609e00346f72f1	ref-tip
